Categoria;Fecha y hora;Producto;Precio;URL de la imagen
Almacen;Yerba Mate Playadito Suave 1 Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/711224-500-auto?v=637938633804770000&width=500&height=auto&aspect=true;09/05/2024, 14:35:08
Almacen;Galletitas Pepitos Con Chips De Chocolate 357g. Pack X 3 Unidades De 119g.;;https://jumboargentinaio.vtexassets.com/arquivos/ids/804479-500-auto?v=638386293793430000&width=500&height=auto&aspect=true;09/05/2024, 14:35:08
Almacen;Aceite De Girasol Natura 1.5 L;;https://jumboargentinaio.vtexassets.com/arquivos/ids/427751-500-auto?v=636495154762100000&width=500&height=auto&aspect=true;09/05/2024, 14:35:08
Almacen;Atun Al Natural La Campagnola 170 Gr;;https://jumboargentinaio.vtexassets.com/arquivos/ids/703709-500-auto?v=637895325885100000&width=500&height=auto&aspect=true;09/05/2024, 14:35:08
Almacen;Yerba Mate De Campo La Merced 500 Gr;;https://jumboargentinaio.vtexassets.com/arquivos/ids/621304-500-auto?v=637473138269830000&width=500&height=auto&aspect=true;09/05/2024, 14:35:08
Almacen;Galletitas Oreo Rellenas Con Crema Sabor Original 118g. Menos Sodio.;;https://jumboargentinaio.vtexassets.com/arquivos/ids/803301-500-auto?v=638379382759570000&width=500&height=auto&aspect=true;09/05/2024, 14:35:08
Almacen;Cafe Expresso Molido Tostado La Virginia 500 Gr;;https://jumboargentinaio.vtexassets.com/arquivos/ids/680335-500-auto?v=637744887545730000&width=500&height=auto&aspect=true;09/05/2024, 14:35:08
Almacen;Lomo De Atun Al Natural Cuisine & Co 120gr Escurrido 170 Gr Neto;;https://jumboargentinaio.vtexassets.com/arquivos/ids/589055-500-auto?v=637280470874970000&width=500&height=auto&aspect=true;09/05/2024, 14:35:08
Almacen;Yerba Mate Playadito Suave 1 Kg;$4.759;https://jumboargentinaio.vtexassets.com/arquivos/ids/711224-500-auto?v=637938633804770000&width=500&height=auto&aspect=true;09/05/2024, 14:35:13
Almacen;Galletitas Pepitos Con Chips De Chocolate 357g. Pack X 3 Unidades De 119g.;$2.781;https://jumboargentinaio.vtexassets.com/arquivos/ids/804479-500-auto?v=638386293793430000&width=500&height=auto&aspect=true;09/05/2024, 14:35:13
Almacen;Aceite De Girasol Natura 1.5 L;$2.752;https://jumboargentinaio.vtexassets.com/arquivos/ids/427751-500-auto?v=636495154762100000&width=500&height=auto&aspect=true;09/05/2024, 14:35:13
Almacen;Atun Al Natural La Campagnola 170 Gr;$3.689;https://jumboargentinaio.vtexassets.com/arquivos/ids/703709-500-auto?v=637895325885100000&width=500&height=auto&aspect=true;09/05/2024, 14:35:13
Almacen;Yerba Mate De Campo La Merced 500 Gr;$3.520;https://jumboargentinaio.vtexassets.com/arquivos/ids/621304-500-auto?v=637473138269830000&width=500&height=auto&aspect=true;09/05/2024, 14:35:13
Almacen;Galletitas Oreo Rellenas Con Crema Sabor Original 118g. Menos Sodio.;$1.054;https://jumboargentinaio.vtexassets.com/arquivos/ids/803301-500-auto?v=638379382759570000&width=500&height=auto&aspect=true;09/05/2024, 14:35:13
Almacen;Cafe Expresso Molido Tostado La Virginia 500 Gr;$10.859;https://jumboargentinaio.vtexassets.com/arquivos/ids/680335-500-auto?v=637744887545730000&width=500&height=auto&aspect=true;09/05/2024, 14:35:13
Almacen;Lomo De Atun Al Natural Cuisine & Co 120gr Escurrido 170 Gr Neto;$2.100;https://jumboargentinaio.vtexassets.com/arquivos/ids/589055-500-auto?v=637280470874970000&width=500&height=auto&aspect=true;09/05/2024, 14:35:13
Almacen;Galletitas ópera Agrupadas 220 Gr;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/624009-500-auto?v=637502527403100000&width=500&height=auto&aspect=true;09/05/2024, 14:35:13
Almacen;Pan Blanco Artesano Bimbo 500 Gr;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/799937-500-auto?v=638349573976600000&width=500&height=auto&aspect=true;09/05/2024, 14:35:13
Almacen;Cafe Molido La Morenita 500 Gr;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/646160-500-auto?v=637582880104030000&width=500&height=auto&aspect=true;09/05/2024, 14:35:13
Almacen;Atun En Aceite La Campagnola 170 Gr;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/703708-500-auto?v=637895325882100000&width=500&height=auto&aspect=true;09/05/2024, 14:35:13
Almacen;Yerba Mate Playadito Suave 1 Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/711224-500-auto?v=637938633804770000&width=500&height=auto&aspect=true;09/05/2024, 14:35:19
Almacen;Galletitas Pepitos Con Chips De Chocolate 357g. Pack X 3 Unidades De 119g.;;https://jumboargentinaio.vtexassets.com/arquivos/ids/804479-500-auto?v=638386293793430000&width=500&height=auto&aspect=true;09/05/2024, 14:35:19
Almacen;Aceite De Girasol Natura 1.5 L;;https://jumboargentinaio.vtexassets.com/arquivos/ids/427751-500-auto?v=636495154762100000&width=500&height=auto&aspect=true;09/05/2024, 14:35:19
Almacen;Atun Al Natural La Campagnola 170 Gr;;https://jumboargentinaio.vtexassets.com/arquivos/ids/703709-500-auto?v=637895325885100000&width=500&height=auto&aspect=true;09/05/2024, 14:35:19
Almacen;Yerba Mate De Campo La Merced 500 Gr;;https://jumboargentinaio.vtexassets.com/arquivos/ids/621304-500-auto?v=637473138269830000&width=500&height=auto&aspect=true;09/05/2024, 14:35:19
Almacen;Galletitas Oreo Rellenas Con Crema Sabor Original 118g. Menos Sodio.;;https://jumboargentinaio.vtexassets.com/arquivos/ids/803301-500-auto?v=638379382759570000&width=500&height=auto&aspect=true;09/05/2024, 14:35:19
Almacen;Cafe Expresso Molido Tostado La Virginia 500 Gr;;https://jumboargentinaio.vtexassets.com/arquivos/ids/680335-500-auto?v=637744887545730000&width=500&height=auto&aspect=true;09/05/2024, 14:35:19
Almacen;Lomo De Atun Al Natural Cuisine & Co 120gr Escurrido 170 Gr Neto;;https://jumboargentinaio.vtexassets.com/arquivos/ids/589055-500-auto?v=637280470874970000&width=500&height=auto&aspect=true;09/05/2024, 14:35:19

Carnes;Suprema De Pollo Granel Congelada.;$6.399;https://jumboargentinaio.vtexassets.com/arquivos/ids/672121-500-auto?v=637703409880230000&width=500&height=auto&aspect=true;09/05/2024, 14:35:25
Carnes;Cuarto Trasero De Pollo Granel Fresco;$2.729;https://jumboargentinaio.vtexassets.com/arquivos/ids/672122-500-auto?v=637703409896500000&width=500&height=auto&aspect=true;09/05/2024, 14:35:25
Carnes;Carre De Cerdo Con Hueso Fresco;$3.479,25;https://jumboargentinaio.vtexassets.com/arquivos/ids/720670-500-auto?v=637992957932800000&width=500&height=auto&aspect=true;09/05/2024, 14:35:25
Carnes;Carne Vacuna Picada Enfriada E;$5.825;https://jumboargentinaio.vtexassets.com/arquivos/ids/672125-500-auto?v=637703409949200000&width=500&height=auto&aspect=true;09/05/2024, 14:35:25
Carnes;Carne Vacuna Picada Enfriada C;$3.299;https://jumboargentinaio.vtexassets.com/arquivos/ids/709504-500-auto?v=637926430006270000&width=500&height=auto&aspect=true;09/05/2024, 14:35:25
Carnes;Milanesa Nalga;$7.499;https://jumboargentinaio.vtexassets.com/arquivos/ids/676761-500-auto?v=637728575944500000&width=500&height=auto&aspect=true;09/05/2024, 14:35:25
Carnes;Pechito De Cerdo Fresco;$3.738,75;https://jumboargentinaio.vtexassets.com/arquivos/ids/720669-500-auto?v=637992957929600000&width=500&height=auto&aspect=true;09/05/2024, 14:35:25
Carnes;Picada Premium;$8.445;https://jumboargentinaio.vtexassets.com/arquivos/ids/672124-500-auto?v=637703409932000000&width=500&height=auto&aspect=true;09/05/2024, 14:35:25
Carnes;Suprema De Pollo Granel Congelada.;$6.399;https://jumboargentinaio.vtexassets.com/arquivos/ids/672121-500-auto?v=637703409880230000&width=500&height=auto&aspect=true;09/05/2024, 14:35:31
Carnes;Cuarto Trasero De Pollo Granel Fresco;$2.729;https://jumboargentinaio.vtexassets.com/arquivos/ids/672122-500-auto?v=637703409896500000&width=500&height=auto&aspect=true;09/05/2024, 14:35:31
Carnes;Carre De Cerdo Con Hueso Fresco;$3.479,25;https://jumboargentinaio.vtexassets.com/arquivos/ids/720670-500-auto?v=637992957932800000&width=500&height=auto&aspect=true;09/05/2024, 14:35:31
Carnes;Carne Vacuna Picada Enfriada E;$5.825;https://jumboargentinaio.vtexassets.com/arquivos/ids/672125-500-auto?v=637703409949200000&width=500&height=auto&aspect=true;09/05/2024, 14:35:31
Carnes;Carne Vacuna Picada Enfriada C;$3.299;https://jumboargentinaio.vtexassets.com/arquivos/ids/709504-500-auto?v=637926430006270000&width=500&height=auto&aspect=true;09/05/2024, 14:35:31
Carnes;Milanesa Nalga;$7.499;https://jumboargentinaio.vtexassets.com/arquivos/ids/676761-500-auto?v=637728575944500000&width=500&height=auto&aspect=true;09/05/2024, 14:35:31
Carnes;Pechito De Cerdo Fresco;$3.738,75;https://jumboargentinaio.vtexassets.com/arquivos/ids/720669-500-auto?v=637992957929600000&width=500&height=auto&aspect=true;09/05/2024, 14:35:31
Carnes;Picada Premium;$8.445;https://jumboargentinaio.vtexassets.com/arquivos/ids/672124-500-auto?v=637703409932000000&width=500&height=auto&aspect=true;09/05/2024, 14:35:31
Carnes;Pollo Fresco Con Menudos;;https://jumboargentinaio.vtexassets.com/arquivos/ids/676545-500-auto?v=637727602033300000&width=500&height=auto&aspect=true;09/05/2024, 14:35:31
Carnes;Lomo Premium;;https://jumboargentinaio.vtexassets.com/arquivos/ids/677571-500-auto?v=637733649883100000&width=500&height=auto&aspect=true;09/05/2024, 14:35:31
Carnes;Peceto;;https://jumboargentinaio.vtexassets.com/arquivos/ids/672987-500-auto?v=637708918007230000&width=500&height=auto&aspect=true;09/05/2024, 14:35:31
Carnes;Roast Beef Churrasco;;https://jumboargentinaio.vtexassets.com/arquivos/ids/672991-500-auto?v=637708918023200000&width=500&height=auto&aspect=true;09/05/2024, 14:35:31
Carnes;Suprema De Pollo Granel Congelada.;$6.399;https://jumboargentinaio.vtexassets.com/arquivos/ids/672121-500-auto?v=637703409880230000&width=500&height=auto&aspect=true;09/05/2024, 14:35:36
Carnes;Cuarto Trasero De Pollo Granel Fresco;$2.729;https://jumboargentinaio.vtexassets.com/arquivos/ids/672122-500-auto?v=637703409896500000&width=500&height=auto&aspect=true;09/05/2024, 14:35:36
Carnes;Carre De Cerdo Con Hueso Fresco;$3.479,25;https://jumboargentinaio.vtexassets.com/arquivos/ids/720670-500-auto?v=637992957932800000&width=500&height=auto&aspect=true;09/05/2024, 14:35:36
Carnes;Carne Vacuna Picada Enfriada E;$5.825;https://jumboargentinaio.vtexassets.com/arquivos/ids/672125-500-auto?v=637703409949200000&width=500&height=auto&aspect=true;09/05/2024, 14:35:36
Carnes;Carne Vacuna Picada Enfriada C;$3.299;https://jumboargentinaio.vtexassets.com/arquivos/ids/709504-500-auto?v=637926430006270000&width=500&height=auto&aspect=true;09/05/2024, 14:35:36
Carnes;Milanesa Nalga;$7.499;https://jumboargentinaio.vtexassets.com/arquivos/ids/676761-500-auto?v=637728575944500000&width=500&height=auto&aspect=true;09/05/2024, 14:35:36
Carnes;Pechito De Cerdo Fresco;$3.738,75;https://jumboargentinaio.vtexassets.com/arquivos/ids/720669-500-auto?v=637992957929600000&width=500&height=auto&aspect=true;09/05/2024, 14:35:36
Carnes;Picada Premium;$8.445;https://jumboargentinaio.vtexassets.com/arquivos/ids/672124-500-auto?v=637703409932000000&width=500&height=auto&aspect=true;09/05/2024, 14:35:36
Carnes;Suprema De Pollo Granel Congelada.;$6.399;https://jumboargentinaio.vtexassets.com/arquivos/ids/672121-500-auto?v=637703409880230000&width=500&height=auto&aspect=true;09/05/2024, 14:35:41
Carnes;Cuarto Trasero De Pollo Granel Fresco;$2.729;https://jumboargentinaio.vtexassets.com/arquivos/ids/672122-500-auto?v=637703409896500000&width=500&height=auto&aspect=true;09/05/2024, 14:35:41
Carnes;Carre De Cerdo Con Hueso Fresco;$3.479,25;https://jumboargentinaio.vtexassets.com/arquivos/ids/720670-500-auto?v=637992957932800000&width=500&height=auto&aspect=true;09/05/2024, 14:35:41
Carnes;Carne Vacuna Picada Enfriada E;$5.825;https://jumboargentinaio.vtexassets.com/arquivos/ids/672125-500-auto?v=637703409949200000&width=500&height=auto&aspect=true;09/05/2024, 14:35:41
Carnes;Carne Vacuna Picada Enfriada C;$3.299;https://jumboargentinaio.vtexassets.com/arquivos/ids/709504-500-auto?v=637926430006270000&width=500&height=auto&aspect=true;09/05/2024, 14:35:41
Carnes;Milanesa Nalga;$7.499;https://jumboargentinaio.vtexassets.com/arquivos/ids/676761-500-auto?v=637728575944500000&width=500&height=auto&aspect=true;09/05/2024, 14:35:41
Carnes;Pechito De Cerdo Fresco;$3.738,75;https://jumboargentinaio.vtexassets.com/arquivos/ids/720669-500-auto?v=637992957929600000&width=500&height=auto&aspect=true;09/05/2024, 14:35:41
Carnes;Picada Premium;$8.445;https://jumboargentinaio.vtexassets.com/arquivos/ids/672124-500-auto?v=637703409932000000&width=500&height=auto&aspect=true;09/05/2024, 14:35:41
Carnes;Pollo Fresco Con Menudos;$2.299;https://jumboargentinaio.vtexassets.com/arquivos/ids/676545-500-auto?v=637727602033300000&width=500&height=auto&aspect=true;09/05/2024, 14:35:41
Carnes;Lomo Premium;$14.606,25;https://jumboargentinaio.vtexassets.com/arquivos/ids/677571-500-auto?v=637733649883100000&width=500&height=auto&aspect=true;09/05/2024, 14:35:41
